AverTemp(°C),Precipitation(mm),AverHumidity(%),WindSpeed(m/s),SunDuration(giờ),AtmosPressure(hPa),Year,Month,Day,DayOfWeek,IsWeekend,Season_Mùa mưa
0.5472657965429603,0.057062700952206724,-0.08613291693002019,-0.9341352868538706,0.013024009009218558,-0.2964722121904893,1.096842142134823,0.4540984181505544,1.6215821590266575,-1.4990181796722397,-0.6301260378126045,-0.6859943405700354
0.37980572591504247,-0.059500413575666225,-0.06464304445776714,-1.2783631626812042,-0.6213824140043653,-0.2537334259111351,1.096842142134823,0.4540984181505544,1.7351467038903012,-0.9984672936656922,-0.6301260378126045,-0.6859943405700354
0.6874649254407531,-0.3054006825796722,-0.06464304445776714,-0.879783516986397,0.7685003600788303,-0.4246885710285823,1.096842142134823,0.744925494943606,-1.6717896420190053,-0.4979164076591447,-0.6301260378126045,1.457737973711325
0.7186202874180395,-0.18005541558737048,0.15240466751200213,-0.31814856168916866,0.058223448816801485,-0.4246885710285823,1.096842142134823,0.744925494943606,-1.5582250971553617,0.0026344783474027784,-0.6301260378126045,1.457737973711325
0.5200048548128353,0.3013662149626802,0.2834928895927531,-0.31814856168916866,-0.5697259113671282,-0.7665988612634766,1.096842142134823,0.744925494943606,-1.4446605522917182,0.5031853643539502,-0.6301260378126045,1.457737973711325
0.7030426064293963,-0.034750711175912406,-0.19788025378574156,0.3068967917867794,-0.21135892432128683,-0.7665988612634766,1.096842142134823,0.744925494943606,-1.3310960074280747,1.0037362503604979,1.5869840952317447,1.457737973711325
0.7848254316197751,-0.1329511432781615,-0.45360973620556694,0.3068967917867794,0.6781014804636624,-0.5529049298666753,1.096842142134823,0.744925494943606,-1.2175314625644311,1.5042871363670454,1.5869840952317447,1.457737973711325
0.7264091279123611,0.2239235977763536,0.31142972380668266,-0.5717901544040459,0.20835015960627573,-0.2964722121904893,1.096842142134823,0.744925494943606,-1.1039669177007876,-1.4990181796722397,-0.6301260378126045,1.457737973711325
0.48106065234122597,0.7596348981065093,0.07289213936466032,-1.0337801982775725,-1.7723538633903342,-0.5101661435872907,1.096842142134823,0.744925494943606,-0.990402372837144,-0.9984672936656922,-0.6301260378126045,1.457737973711325
0.4966383333298692,1.6019231571949064,0.9346360255020578,1.248994136156324,0.25354959941385863,-0.8307070406825231,1.096842142134823,0.744925494943606,-0.8768378279735005,-0.4979164076591447,-0.6301260378126045,1.457737973711325
